SKU,Name,Variant,Price,Barcode,,
101,Begonia (Assorted),,3,101,,
102,Coleus (Assorted),,3,102,,
103,Dusty Miller,,3,103,,
104,Impatiens Red,,3,104,,
105,Impatiens Violet/Pink,,3,105,,
106,Impatiens White,,3,106,,
108,Lobelia,,3,108,,
109,Marigold (Assorted),,3,109,,
110,Moss Rose,,3,110,,
112,Petunia Purple,,3,112,,
113,Petunia Red,,3,113,,
114,Petunia White,,3,114,,
115,Salvia (Assorted),,3,115,,
116,Snapdragons (Assorted),,3,116,,
117,Periwinkle Pink/Purple,,3,117,,
118,Zinnia Zahara (Assorted),,3,118,,
201,Tomatoes Traditional,,4,201,,
202,Sweet Peppers,,4,202,,
203,Tomatoes Heirloom,,4,203,,
204,Jalepeno Peppers,,4,204,,
205,Tomato Tiny,,4,205,,
206,Slicing Cucumbers,,4,206,,
215,Basil,,5,215,,
216,Cilantro,,5,216,,
217,Lavender,,7,217,,
218,Mojito Mint,,7,218,,
220,Rosemary,,7,220,,
225,Strawberries,,7,225,,
230,Red Rhubarb,,19,230,,
250,Aronia 'Autumn Magic',,19,250,,
255,Blackberry 'Taste of Heaven' PW,,23,255,,
310,"12"" Premium HB",,33,310,,
315,"12"" Spectacular Patio Planters",,38,315,,
320,MAX Planters,,48,320,,
351,Vinca Vine Variegated,,4,351,,
352,Spikes,,4,352,,
355,Silver Falls Vine,,4,355,,
356,Ice Plant (Dortheanthus),,4,356,,
363,Cordyline Red,,8,363,,
402,Aster,,9,402,,
403,Bleeding Heart,,9,403,,
404,Butterfly Bush,,9,404,,
408,Creeping Phlox,,9,408,,
409,Shasta Daisy,,9,409,,
412,Delphinium 'Blue Butterflies',,9,412,,
413,Gallardia Spin Top Copper Sun,,9,413,,
414,Hosta 'Patriot',,12,414,,
415,Hosta 'First Frost',,12,415,,
416,Holly Hocks,,9,416,,
502,Chinese Fountain Grass,,12,502,,
503,Switchgrass,,12,503,,
504,Karl Foerester Grass,,12,504,,
505,Karl 'Avalanche',,12,505,,
507,Little Bluestem,,22,507,,
515,Hardy Pampas Grass,,20,515,,
602,Geranium Red,,7,602,,
604,Geranium Orange,,7,604,,
605,Geranium Purple/Fuschia,,7,605,,
606,Geranium Salmon,,7,606,,
608,Geranium Citronella,,7,608,,
610,Bacopa,,7,610,,
611,Dahlia Virtuoso 'Classy Carmine' PW,,8,611,,
612,Dahlia Virtuoso 'Vibrant Violet' PW,,8,612,,
613,Sun Coleus 'El Brighto' PW,,9,613,,
614,Sun Coleus 'Ruby Slippers',,8,614,,
616,Diamond Frost,,7,616,,
617,Lantana (Assorted),,7,617,,
618,Lisianthus,,7,618,,
619,Trailing Portulaca,,7,619,,
620,Super Bells Double Red PW,,9,620,,
621,Super Bells Double Blue PW,,9,621,,
623,Sweet Potato Vine,,7,623,,
625,Penta 'Sunstar Red' PW,,9,625,,
632,Supertunia Vista 'Bubblegum' PW,,9,632,,
633,Supertunia 'Jazzberry' PW,,9,633,,
650,Gerbera Daisy,,8,650,,
701,Kimberly Queen Fern,,18,701,,
800,Cork Screw Grass,,8,800,,
801,Fireworks Fountain Grass,,8,801,,
802,First Knight Grass,,18,802,,
805,Blue Arrows Grass,,8,805,,
905,Rose Oso Easy 'Easy Peasy' PW,,29,905,,
907,Rose Oso Easy 'Italian Ice' PW,,29,907,,
909,Rose Oso Easy 'Double Red' PW,,29,909,,
910,Cooperi Ice Plant,,16,910,,
911,Summer Phlox 'Glamour Girl',,22,911,,
912,Hydrangea 'Strawberry Sundae',,45,912,,
919,Hydrangea 'Annabelle',,29,919,,
920,Japanese Painted Fern,,20,920,,
930,Peony 'Karl Rosenfield',,39,930,,
931,Pulmonaria 'Raspberry Splash',,21,931,,
932,Coral Bells 'Forever Red',,25,932,,
933,Coral Bells 'Forever Purple ',,25,933,,
963,Osteospurmum 'Bright Lights' Red PW,,9,963,,
965,Osteospurmum 'Berry White',,8,965,,
